Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-11-29,8344.97,8344.97,8344.96,8344.97,1.62693216,13576.6898316,8344.96370863
2017-11-28,8174.08,8398.0,8140.0,8344.97,2774.16999154,23050366.8461,8308.92372002
2017-11-27,7799.48,8198.99,7799.48,8174.08,4047.51903798,32770093.8755,8096.34088636
2017-11-26,7339.48,8059.0,7339.48,7799.48,4087.8554367,31567103.1785,7722.16720168
2017-11-25,6965.98,7339.49,6950.55,7339.49,1883.5763096,13476634.2712,7154.81194072
2017-11-24,6868.0,7100.51,6800.04,6965.98,2080.27273793,14523359.9349,6981.46914588
2017-11-23,7070.11,7080.0,6868.0,6868.0,2422.39275947,16925322.8036,6987.02666504
2017-11-22,7020.07,7176.55,7001.56,7070.12,2098.14226066,14876102.8997,7090.13072119
2017-11-21,7080.0,7195.0,6750.0,7021.22,3802.40929523,26802855.2592,7048.91377496
2017-11-20,6818.0,7106.43,6771.0,7080.0,2973.96300258,20785683.0223,6989.22044566
2017-11-19,6617.0,6850.01,6570.22,6818.01,2048.91264195,13762575.8666,6717.01447141
2017-11-18,6592.31,6675.0,6451.01,6617.0,1341.21896242,8836622.52856,6588.50103984
2017-11-17,6652.21,6793.0,6423.12,6592.31,3545.23875782,23614248.1979,6660.83437845
2017-11-16,6275.0,6775.0,6156.0,6652.2,4306.77233928,27994358.5425,6500.07855934
2017-11-15,5688.8,6287.99,5688.79,6275.0,4881.48688588,29686349.9085,6081.41547903
2017-11-14,5686.99,5800.0,5610.01,5688.8,2055.92009763,11698387.1997,5690.09817705
2017-11-13,5098.75,5998.0,5058.18,5686.99,6469.0227861,36484688.1927,5639.90720069
2017-11-12,5490.01,5650.23,4695.0,5098.98,6969.12193343,36343184.6711,5214.8871864
2017-11-11,5687.57,5916.21,5317.43,5490.01,3997.92402936,22282134.1729,5573.42611047
2017-11-10,6207.56,6300.0,5510.0,5687.57,6479.28078796,38011920.95,5866.68832452
2017-11-09,6487.03,6489.0,6180.0,6207.56,3123.73759316,19686311.8793,6302.16568844
2017-11-08,6220.42,6800.0,6100.0,6487.07,6182.88262232,39818418.5311,6440.10584761
2017-11-07,6060.0,6343.0,6060.0,6220.41,1988.33511086,12386282.5461,6229.47433682
2017-11-06,6486.3,6524.18,6006.0,6060.0,4446.03237036,27920683.8233,6279.91015303
2017-11-05,6418.67,6682.01,6380.0,6487.98,2058.27494606,13491564.8867,6554.79235782
2017-11-04,6290.77,6468.9,6135.91,6419.44,1635.27203028,10343013.3723,6324.94972138
2017-11-03,6112.36,6495.5,6070.0,6291.44,3761.76452181,23956185.2395,6368.33727911
2017-11-02,5935.75,6483.06,5703.0,6112.36,6201.13511649,37793077.2549,6094.54181291
2017-11-01,5601.5,5935.0,5540.0,5935.0,3242.9995877,18574159.9013,5727.46292406
2017-10-31,5305.06,5619.69,5282.0,5583.23,2357.13144645,12859216.2327,5455.4514777
2017-10-30,5275.0,5355.0,5241.0,5305.7,1483.62896588,7854764.23377,5294.29150712
2017-10-29,5007.34,5398.95,4980.32,5275.01,1914.39682021,9918811.12856,5181.1677829
2017-10-28,5030.0,5085.0,4960.0,5007.34,581.1233049,2915685.50528,5017.32675441
2017-10-27,5073.29,5147.03,4980.5,5029.99,1422.19739708,7191218.02137,5056.41343187
2017-10-26,4929.01,5164.49,4899.29,5073.29,1797.879208,9091735.29973,5056.92221105
