Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-11-29,7518.02,7518.03,7515.04,7516.94,1.5019,11288.298797,7516.01224915
2017-11-28,7389.0,7594.06,7340.01,7518.02,647.02083341,4864382.13623,7518.12288731
2017-11-27,7122.73,7414.9,7107.71,7389.0,697.58522854,5103507.1395,7315.96216592
2017-11-26,6617.48,7200.0,6612.34,7123.34,654.07954748,4563808.00137,6977.45101334
2017-11-25,6381.01,6657.71,6255.0,6615.0,344.45488167,2244582.27637,6516.33173404
2017-11-24,6089.7,6397.0,6000.8,6381.01,278.97224196,1743778.14682,6250.72277647
2017-11-23,6256.57,6268.49,6095.72,6095.72,272.1058272,1687399.35865,6201.26138426
2017-11-22,6185.47,6329.93,6110.01,6247.41,289.87199314,1811261.47691,6248.48733157
2017-11-21,6299.1,6378.1,5927.18,6185.47,377.86725701,2352626.18268,6226.0652095
2017-11-20,6126.99,6328.08,6090.0,6299.09,366.90668484,2286658.39178,6232.26146118
2017-11-19,5942.94,6159.95,5872.0,6127.91,277.42953579,1666933.24507,6008.49235582
2017-11-18,5874.2,5980.0,5701.01,5942.94,245.63059895,1445605.44229,5885.28240567
2017-11-17,5998.97,6099.99,5718.85,5862.82,421.65542911,2509742.28858,5952.11662252
2017-11-16,5586.58,6049.0,5464.0,5998.97,437.67519509,2532615.53292,5786.51831616
2017-11-15,5070.16,5600.0,5070.16,5586.59,456.80414922,2485154.18086,5440.30562136
2017-11-14,5023.45,5189.69,4969.05,5070.16,276.05276893,1397040.37991,5060.77292875
2017-11-13,4531.34,5281.12,4501.78,5023.77,641.6659774,3194006.88332,4977.67841185
2017-11-12,4859.88,5000.0,4162.35,4531.3,1079.12309385,5003982.36292,4637.08208214
2017-11-11,5036.52,5279.0,4701.4,4858.66,595.98066734,2935135.37581,4924.88353508
2017-11-10,5497.25,5599.99,4823.95,5039.99,838.09422748,4334223.9092,5171.52340045
2017-11-09,5751.81,5751.86,5440.19,5498.21,364.59149111,2020673.15659,5542.29378868
2017-11-08,5466.54,6069.73,5379.0,5750.3,759.27676756,4289276.88093,5649.16123368
2017-11-07,5343.67,5553.16,5327.23,5455.72,301.56176377,1643001.73346,5448.3092051
2017-11-06,5713.0,5734.13,5286.02,5341.87,602.20909298,3317565.63272,5508.9929252
2017-11-05,5700.0,5901.91,5600.01,5722.33,395.88789037,2292671.61627,5791.21431101
2017-11-04,5531.18,5783.15,5404.65,5700.0,335.60496851,1886303.36365,5620.60619073
2017-11-03,5447.22,5761.12,5381.97,5551.58,564.41067713,3174656.58529,5624.72808175
2017-11-02,5168.79,5689.53,5099.99,5453.08,1091.85447179,5873356.32718,5379.24831462
2017-11-01,4885.18,5168.79,4840.33,5168.79,564.95270234,2819292.89114,4990.31667512
2017-10-31,4689.23,4893.65,4652.51,4889.21,391.97913094,1882267.39018,4801.95816974
2017-10-30,4703.56,4757.58,4616.76,4681.61,265.40565609,1243082.73705,4683.70853645
2017-10-29,4433.78,4750.0,4397.68,4696.1,259.24971501,1188144.58009,4583.0120972
2017-10-28,4450.51,4521.41,4394.04,4426.74,160.4114816,711082.494876,4432.86532724
2017-10-27,4531.93,4600.0,4380.03,4450.5,214.95492224,962091.94016,4475.78464421
2017-10-26,4367.75,4570.85,4337.53,4531.94,236.67281782,1061341.42692,4484.42468678
2017-10-25,4250.85,4399.87,4133.58,4372.2,319.30819885,1357209.02005,4250.46718167
2017-10-24,4509.24,4514.96,4200.08,4251.17,387.31170017,1679831.83256,4337.15746728
2017-10-23,4588.25,4610.0,4320.12,4509.24,285.96887961,1277075.8598,4465.78614267
2017-10-22,4615.78,4644.08,4400.0,4588.26,279.70113868,1264030.94427,4519.21987246
2017-10-21,4587.51,4734.1,4479.14,4616.26,329.12328906,1532716.84117,4656.96865619
2017-10-20,4380.74,4644.27,4325.1,4587.5,271.39612019,1216762.862,4483.34656053
2017-10-19,4250.79,4400.0,4224.73,4380.74,217.97187215,946923.503906,4344.24632209
2017-10-18,4282.48,4290.0,3856.29,4277.09,408.86644413,1674337.0664,4095.07087323
2017-10-17,4380.01,4393.83,4221.0,4282.48,234.78519385,1008863.17477,4296.9625053
2017-10-16,4327.59,4400.64,4224.32,4380.01,214.3929239,927990.882847,4328.45854222
2017-10-15,4413.98,4435.43,4130.0,4329.9,282.47871326,1196083.40001,4234.24259552
2017-10-14,4275.58,4435.21,4219.27,4423.22,217.38135048,938153.408472,4315.7032855
2017-10-13,4122.45,4454.51,4098.21,4275.61,494.35983766,2109687.40044,4267.51374147
2017-10-12,3673.14,4122.45,3651.06,4122.45,461.42847196,1826907.19169,3959.24244537
2017-10-11,3605.22,3719.02,3600.0,3673.14,173.3548106,636092.639314,3669.31057242
2017-10-10,3709.12,3800.0,3600.0,3605.22,296.0353415,1107466.01663,3740.99258222
2017-10-09,3573.71,3760.19,3515.43,3705.77,308.15746425,1120437.31426,3635.92463026
2017-10-08,3414.39,3573.75,3401.85,3573.71,205.68913515,720543.909551,3503.07228929
2017-10-07,3393.02,3414.4,3355.86,3414.39,115.88683717,391925.680233,3381.96890867
2017-10-06,3347.94,3423.33,3330.0,3392.06,174.59909562,592745.764077,3394.89595849
2017-10-05,3236.14,3376.78,3180.2,3349.22,166.55891519,548956.529358,3295.8699853
2017-10-04,3307.57,3328.47,3174.55,3237.01,202.37431469,656296.813591,3242.98473646
